cid,in_person
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,1
235,1
236,0
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,0
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
